-89	-61
-81	-72
-76	-78
-60	-94
-48	-103
-39	-109
-27	-116
-13	-122
-3	-125
2	-126
8	-124
16	-121
28	-116
39	-110
51	-102
61	-94
74	-81
81	-73
84	-69
92	-57
95	-52
105	-30
107	-24
112	-4
114	12
114	34
112	50
110	59
109	63
106	66
99	72
87	81
75	88
61	95
56	97
42	102
39	103
34	104
16	107
-17	107
-24	106
-29	105
-46	101
-55	98
-63	95
-75	89
-82	85
-88	81
-95	76
-100	72
-107	66
-109	64
-110	61
-112	51
-114	36
-114	13
-112	-3
-110	-12
-108	-20
-105	-29
-101	-39
-96	-49
-89	-61
