-16	97
-23	96
-38	93
-53	88
-60	85
-74	78
-89	68
-98	60
-101	54
-103	44
-104	29
-104	17
-103	6
-102	0
-101	-5
-98	-18
-96	-24
-92	-34
-87	-44
-82	-53
-75	-63
-71	-68
-61	-79
-56	-84
-50	-89
-42	-95
-33	-101
-24	-106
-13	-111
-8	-113
-1	-115
3	-115
9	-113
23	-107
27	-105
39	-98
51	-89
59	-82
66	-75
80	-57
82	-54
87	-45
92	-35
96	-25
101	-7
103	5
104	20
104	27
103	42
101	53
98	59
94	63
88	68
81	73
73	78
59	85
54	87
33	94
28	95
22	96
11	97
-16	97
