-114	50
-115	42
-116	28
-116	23
-114	-1
-112	-11
-110	-19
-106	-31
-104	-36
-100	-45
-99	-47
-94	-56
-88	-65
-82	-73
-78	-78
-60	-96
-54	-101
-50	-104
-41	-110
-30	-116
-26	-118
-17	-122
-3	-127
2	-127
7	-126
13	-124
23	-120
33	-115
40	-111
45	-108
48	-106
52	-103
62	-95
77	-80
83	-73
92	-60
96	-53
103	-39
106	-32
110	-20
111	-16
113	-7
114	-2
115	6
116	22
116	27
115	39
114	47
112	59
111	62
109	65
104	70
98	75
84	85
66	95
51	101
44	103
28	107
12	109
-14	109
-23	108
-29	107
-34	106
-42	104
-52	101
-57	99
-64	96
-80	88
-85	85
-88	83
-95	78
-107	68
-110	65
-111	63
-113	55
-114	50
