-126	9
-124	-4
-122	-15
-121	-19
-117	-32
-109	-50
-106	-56
-97	-71
-90	-80
-86	-85
-67	-104
-57	-112
-48	-118
-40	-123
-26	-130
-7	-137
-3	-138
-1	-138
8	-137
17	-134
35	-126
39	-124
49	-118
58	-112
63	-108
69	-103
86	-86
94	-76
97	-72
104	-61
111	-47
114	-40
118	-30
119	-27
122	-16
124	-6
126	9
126	38
124	53
123	58
122	62
120	68
119	70
112	77
106	82
101	86
94	91
91	93
86	96
75	102
73	103
64	107
56	110
43	114
31	117
26	118
20	119
9	120
-10	120
-21	119
-28	118
-42	115
-55	111
-61	109
-66	107
-86	97
-101	87
-112	78
-119	71
-121	67
-122	64
-124	54
-125	48
-126	40
-126	9
