-124	72
-126	65
-127	61
-128	56
-129	50
-130	41
-130	11
-128	-7
-127	-12
-123	-27
-120	-36
-114	-50
-111	-56
-100	-74
-94	-82
-88	-89
-72	-105
-57	-117
-54	-119
-43	-126
-29	-133
-22	-136
-11	-140
0	-143
2	-143
6	-142
21	-137
26	-135
46	-125
51	-122
57	-118
65	-112
70	-108
80	-99
81	-98
90	-88
95	-82
100	-75
104	-69
111	-57
113	-53
118	-42
121	-34
124	-25
127	-13
130	5
130	37
127	60
125	68
124	71
114	81
108	86
96	95
90	99
83	103
71	109
56	115
50	117
43	119
29	122
21	123
12	124
-14	124
-23	123
-30	122
-40	120
-44	119
-60	114
-70	110
-84	103
-91	99
-97	95
-108	87
-114	82
-124	72
