-100	70
-108	62
-110	54
-112	40
-112	10
-111	1
-110	-5
-107	-17
-105	-23
-99	-38
-95	-47
-94	-49
-89	-58
-82	-68
-72	-80
-62	-90
-55	-96
-50	-100
-36	-109
-27	-114
-25	-115
-16	-119
-11	-121
-5	-123
-1	-124
2	-124
6	-123
9	-122
19	-118
28	-114
34	-111
45	-104
48	-102
62	-91
73	-80
81	-70
87	-62
90	-57
94	-50
97	-44
102	-33
104	-28
106	-22
110	-6
112	9
112	38
111	46
110	52
108	60
107	62
102	67
96	72
91	76
82	82
74	87
70	89
57	95
52	97
40	101
26	104
20	105
9	106
-11	106
-19	105
-31	103
-41	101
-56	96
-61	94
-73	88
-82	83
-91	77
-95	74
-100	70
