-3	-111
4	-111
12	-108
23	-103
27	-101
38	-94
44	-90
50	-85
60	-76
63	-73
68	-67
72	-62
77	-55
83	-45
87	-37
91	-28
93	-22
96	-12
98	-4
100	10
100	35
97	55
93	59
87	64
74	73
71	75
55	83
50	85
38	89
23	92
16	93
7	94
-8	94
-19	93
-35	90
-42	88
-53	84
-60	81
-70	76
-75	73
-87	65
-94	59
-97	56
-98	52
-99	45
-100	36
-100	11
-98	-2
-96	-11
-95	-15
-92	-24
-90	-29
-87	-36
-85	-40
-79	-51
-75	-57
-72	-61
-68	-66
-63	-72
-58	-77
-49	-85
-43	-90
-34	-96
-22	-103
-18	-105
-3	-111
