-57	72
-65	68
-70	65
-79	59
-84	55
-88	51
-89	47
-90	39
-91	29
-91	20
-90	8
-89	1
-85	-15
-81	-26
-76	-37
-75	-39
-68	-50
-66	-53
-59	-62
-45	-76
-36	-83
-29	-88
-18	-94
-10	-98
-5	-100
-2	-101
1	-101
5	-100
11	-98
23	-92
30	-88
33	-86
41	-80
46	-76
58	-64
63	-58
68	-51
75	-40
78	-34
83	-21
86	-13
88	-5
89	0
90	7
91	19
91	28
90	39
89	47
88	50
83	55
78	59
64	68
54	73
44	77
38	79
34	80
25	82
20	83
12	84
-13	84
-21	83
-27	82
-31	81
-44	77
-50	75
-57	72
