-67	-78
-59	-86
-48	-95
-35	-104
-26	-109
-15	-114
-7	-117
-4	-118
1	-119
2	-119
16	-114
23	-111
34	-105
39	-102
45	-98
49	-95
55	-90
62	-84
68	-78
72	-73
79	-64
84	-57
86	-54
89	-49
90	-47
97	-32
99	-27
101	-21
104	-10
106	2
107	9
107	36
106	46
105	52
104	57
102	60
99	63
92	69
84	75
78	79
71	83
59	89
48	93
39	96
25	99
19	100
9	101
-8	101
-18	100
-27	99
-39	96
-60	89
-68	85
-79	79
-85	75
-92	70
-97	66
-102	61
-104	56
-106	46
-107	39
-107	12
-105	-1
-104	-7
-101	-20
-96	-33
-94	-38
-86	-53
-83	-58
-77	-66
-67	-78
