136	43
136	65
134	72
133	75
131	79
125	85
121	88
111	94
107	96
90	104
72	112
37	127
27	131
20	133
16	134
5	135
-2	135
-18	134
-29	130
-71	112
-80	108
-106	96
-122	88
-130	81
-133	78
-134	76
-135	73
-136	68
-136	45
-135	31
-133	11
-131	-8
-128	-34
-126	-46
-125	-50
-124	-53
-121	-60
-114	-72
-109	-79
-106	-83
-98	-91
-90	-97
-59	-120
-42	-132
-29	-141
-23	-145
-9	-152
-1	-154
2	-154
10	-152
14	-150
24	-144
36	-136
47	-128
62	-117
94	-93
107	-83
109	-81
113	-75
116	-70
121	-61
124	-55
126	-46
127	-40
128	-33
130	-16
134	20
135	31
136	43
