-125	-49
-124	-55
-122	-63
-117	-71
-113	-77
-109	-81
-104	-85
-83	-101
-59	-119
-37	-135
-13	-151
-4	-155
1	-156
4	-156
12	-151
23	-144
29	-140
39	-133
54	-122
58	-119
91	-94
116	-75
120	-68
122	-64
124	-55
126	-40
127	-32
133	18
135	39
136	51
136	77
132	81
128	84
123	87
97	100
88	104
51	120
23	132
18	134
12	136
5	137
-4	137
-11	136
-24	131
-29	129
-85	105
-107	95
-109	94
-130	83
-135	80
-136	77
-136	50
-135	37
-133	16
-130	-9
-126	-42
-125	-49
