127	70
125	74
117	82
111	87
106	91
102	94
95	99
87	104
73	111
61	116
46	121
32	124
21	126
9	127
-8	127
-22	126
-28	125
-43	122
-47	121
-57	118
-65	115
-72	112
-86	105
-93	101
-107	91
-117	83
-124	76
-126	73
-128	69
-130	60
-131	55
-132	49
-133	39
-133	13
-131	-5
-129	-16
-128	-20
-122	-38
-119	-46
-111	-62
-108	-67
-100	-78
-97	-82
-93	-87
-87	-94
-71	-110
-59	-119
-50	-125
-41	-130
-29	-136
-24	-138
-11	-143
-8	-144
0	-146
5	-145
9	-144
15	-142
28	-137
35	-134
39	-132
46	-128
51	-125
59	-120
74	-108
92	-90
99	-81
106	-71
108	-68
111	-63
119	-47
121	-42
126	-28
128	-21
130	-12
132	-1
133	11
133	39
132	48
131	54
127	70
